T,Price,Solar_Output,Storage_Discharge,Storage_Charge,Storage_SOC,Export,Import,Interval_Revenue
1,12.77,-0.0,10.0,0.0,17.36842105263158,9.0,0.0,28.732499999999998
2,11.82,-0.0,10.0,0.0,14.736842105263158,9.0,0.0,26.595
3,12.39,-0.0,10.0,0.0,12.105263157894736,9.0,0.0,27.8775
4,10.17,-0.0,10.0,0.0,9.473684210526315,9.0,0.0,22.8825
5,5.86,-0.0,10.0,0.0,6.842105263157894,9.0,0.0,13.185
6,2.69,-0.0,10.0,0.0,4.210526315789473,9.0,0.0,6.0525
7,1.46,-0.0,8.399999999999997,0.0,2.0,7.559999999999997,0.0,2.759399999999999
8,1.41,-0.0,0.0,0.0,2.0,-0.0,0.0,-0.0
9,0.03,-0.0,0.0,10.0,4.375,0.0,11.11111111111111,-0.08333333333333333
10,-0.19,0.0,0.0,10.0,6.75,23.4,40.0,0.7885000000000001
11,-0.72,0.0,0.0,10.0,9.125,23.4,40.0,2.988
12,-0.54,0.0,0.0,10.0,11.5,23.4,40.0,2.2410000000000005
13,-0.45,0.0,0.0,10.0,13.875,23.4,40.0,1.8675000000000002
14,-0.6,0.0,0.0,10.0,16.25,23.4,40.0,2.49
15,-0.72,0.0,0.0,10.0,18.625,23.4,40.0,2.988
16,-0.63,0.0,0.0,10.0,21.0,23.4,40.0,2.6145
17,-0.72,0.0,0.0,10.0,23.375,23.4,40.0,2.988
18,-1.19,0.0,0.0,10.0,25.75,23.4,40.0,4.9385
19,-1.04,0.0,0.0,10.0,28.125,23.4,40.0,4.316000000000001
20,-0.76,0.0,0.0,10.0,30.5,23.4,40.0,3.1540000000000004
21,-0.47,0.0,0.0,10.0,32.875,23.4,40.0,1.9505000000000001
22,0.68,-0.0,0.0,10.0,35.25,0.0,11.11111111111111,-1.888888888888889
23,0.78,-0.0,0.0,10.0,37.625,0.0,11.11111111111111,-2.1666666666666665
24,0.09,-0.0,0.0,10.0,40.0,0.0,11.11111111111111,-0.24999999999999997
25,5.51,-0.0,0.2084774999999951,0.0,39.9451375,0.18762974999999557,0.0,0.25845998062499387
26,4.66,0.077,0.0,0.077,39.963425,0.0,0.0,0.0
27,4.52,0.154,0.0,0.154,40.0,0.0,0.0,0.0
28,5.89,0.232,-0.0,0.0,40.0,0.2088,0.0,0.307458
29,8.83,0.309,10.0,0.0,37.36842105263158,9.278099999999998,0.0,20.481405749999997
30,8.83,7.94,8.9816425000001,0.0,35.00483092105261,15.22947825000009,0.0,33.6190732368752
31,10.47,15.571,10.0,0.0,32.37325197368419,23.013899999999996,0.0,60.23888324999999
32,10.97,23.202,10.0,0.0,29.74167302631577,29.8818,0.0,81.9508365
33,12.45,30.833,10.0,0.0,27.11009407894735,36.7497,0.0,114.38344124999999
34,13.44,33.823,10.0,0.0,24.478515131578927,39.4407,0.0,132.520752
35,13.51,36.812,7.632444444444445,0.0,22.46997711988302,40.0,0.0,135.1
36,13.19,39.801,4.643444444444441,0.0,21.248018055555534,40.0,0.0,131.9
37,12.77,42.791,1.653444444444446,0.0,20.812901096491206,40.0,0.0,127.69999999999999
38,12.65,44.029,0.4154444444444394,0.0,20.70357361111109,40.0,0.0,126.5
39,12.18,45.268,0.0,0.8235555555555578,20.899168055555535,40.0,0.0,121.8
40,12.45,46.507,0.0,2.062555555555555,21.38902499999998,40.0,0.0,124.5
41,12.42,47.746,0.0,3.3015555555555594,22.173144444444425,40.0,0.0,124.2
42,13.25,48.298,0.0,3.853555555555559,23.08836388888887,40.0,0.0,132.5
43,13.61,48.85,0.0,4.4055555555555586,24.134683333333317,40.0,0.0,136.1
44,13.85,49.401,0.0,4.9565555555555605,25.311865277777763,40.0,0.0,138.5
45,15.19,49.953,0.0,5.50855555555556,26.620147222222208,40.0,0.0,151.9
46,16.55,49.965,0.0,5.5205555555555605,27.931279166666652,40.0,0.0,165.5
47,17.25,49.977,0.0,5.532555555555554,29.245261111111095,40.0,0.0,172.5
48,17.2,49.988,0.0,5.543555555555557,30.56185555555554,40.0,0.0,172.0
49,17.97,50.0,0.0,5.555555555555557,31.881299999999985,40.0,0.0,179.7
50,17.96,49.778,0.0,5.333555555555556,33.14801944444443,40.0,0.0,179.60000000000002
51,17.9,49.556,0.0,5.1115555555555545,34.362013888888875,40.0,0.0,179.0
52,18.12,49.335,0.0,4.890555555555558,35.52352083333332,40.0,0.0,181.20000000000002
53,18.07,49.113,0.0,4.668555555555557,36.63230277777777,40.0,0.0,180.7
54,18.21,48.549,0.0,4.104555555555557,37.60713472222221,40.0,0.0,182.10000000000002
