Hour,Demand
1,1555
2,1473
3,1463
4,1503
5,1642
6,1850
7,2051
8,2129
9,2205
10,2284
11,2313
12,2412
13,2388
14,2310
15,2254
16,2202
17,2202
18,2437
19,2453
20,2409
21,2349
22,2176
23,1884
24,1617
25,1451
26,1377
27,1410
28,1488
29,1669
30,1931
31,2182
32,2302
33,2421
34,2535
35,2588
36,2684
37,2654
38,2567
39,2506
40,2437
41,2416
42,2592
43,2632
44,2581
45,2501
46,2351
47,2087
48,1728
49,1546
50,1454
51,1432
52,1497
53,1682
54,1994
55,2362
56,2584
57,2746
58,2906
59,3030
60,2900
61,2690
62,2633
63,2577
64,2486
65,2492
66,2720
67,2743
68,2676
69,2585
70,2329
71,1988
72,1725
73,1596
74,1506
75,1478
76,1530
77,1714
78,2020
79,2413
80,2635
81,2782
82,2915
83,3040
84,2919
85,2720
86,2668
87,2612
88,2544
89,2540
90,2737
91,2746
92,2678
93,2586
94,2391
95,2038
96,1757
97,1639
98,1545
99,1525
100,1606
101,1776
102,2080
103,2445
104,2632
105,2790
106,2934
107,3050
108,2926
109,2723
110,2669
111,2606
112,2535
113,2524
114,2715
115,2733
116,2657
117,2572
118,2342
119,2012
120,1759
121,1641
122,1556
123,1537
124,1584
125,1763
126,2059
127,2424
128,2637
129,2792
130,2929
131,3037
132,2891
133,2667
134,2596
135,2527
136,2445
137,2457
138,2649
139,2664
140,2582
141,2514
142,2292
143,2004
144,1782
145,1662
146,1570
147,1527
148,1560
149,1707
150,1921
151,2179
152,2317
153,2487
154,2668
155,2769
156,2616
157,2389
158,2305
159,2239
160,2186
161,2217
162,2488
163,2495
164,2445
165,2380
166,2188
167,1898
168,1672
169,1522
170,1451
171,1461
172,1531
173,1690
174,1911
175,2150
176,2248
177,2337
178,2402
179,2415
180,2494
181,2460
182,2384
183,2315
184,2243
185,2229
186,2453
187,2491
188,2457
189,2385
190,2120
191,1803
192,1556
193,1426
194,1370
195,1407
196,1499
197,1704
198,2057
199,2525
200,2740
201,2797
202,2829
203,2825
204,2893
205,2860
206,2789
207,2705
208,2595
209,2537
210,2689
211,2719
212,2662
213,2578
214,2298
215,1959
216,1702
217,1599
218,1523
219,1497
220,1564
221,1751
222,2073
223,2527
224,2775
225,2875
226,2962
227,3048
228,2898
229,2676
230,2598
231,2523
232,2460
233,2452
234,2686
235,2719
236,2663
237,2584
238,2323
239,1994
240,1742
241,1627
242,1543
243,1523
244,1587
245,1775
246,2094
247,2533
248,2771
249,2886
250,3014
251,3076
252,2909
253,2682
254,2585
255,2535
256,2472
257,2483
258,2698
259,2718
260,2674
261,2599
262,2328
263,2011
264,1762
265,1641
266,1563
267,1536
268,1602
269,1777
270,2070
271,2493
272,2704
273,2836
274,2954
275,3061
276,2902
277,2699
278,2655
279,2592
280,2526
281,2508
282,2686
283,2728
284,2658
285,2593
286,2334
287,2006
288,1779
289,1668
290,1597
291,1569
292,1623
293,1795
294,2095
295,2527
296,2772
297,2889
298,3001
299,3094
300,2915
301,2686
302,2625
303,2550
304,2478
305,2474
306,2659
307,2681
308,2612
309,2541
310,2276
311,1985
312,1744
313,1633
314,1555
315,1524
316,1574
317,1715
318,1934
319,2221
320,2394
321,2602
322,2762
323,2868
324,2697
325,2459
326,2370
327,2296
328,2240
329,2262
330,2525
331,2551
332,2500
333,2437
334,2177
335,1891
336,1652
337,1498
338,1442
339,1466
340,1545
341,1683
342,1913
343,2158
344,2299
345,2418
346,2503
347,2510
348,2563
349,2523
350,2446
351,2378
352,2334
353,2345
354,2539
355,2555
356,2510
357,2434
358,2169
359,1871
360,1622
361,1453
362,1387
363,1423
364,1521
365,1710
366,2020
367,2380
368,2590
369,2724
370,2818
371,2850
372,2912
373,2861
374,2779
375,2697
376,2616
377,2603
378,2757
379,2828
380,2791
381,2704
382,2424
383,2079
384,1828
385,1690
386,1607
387,1578
388,1648
389,1836
390,2160
391,2610
392,2856
393,2954
394,3037
395,3092
396,2908
397,2674
398,2602
399,2526
400,2461
401,2501
402,2750
403,2837
404,2794
405,2720
406,2421
407,2074
408,1825
409,1704
410,1613
411,1602
412,1669
413,1861
414,2198
415,2648
416,2877
417,2981
418,3062
419,3121
420,2936
421,2693
422,2617
423,2550
424,2493
425,2507
426,2719
427,2797
428,2746
429,2680
430,2469
431,2182
432,1950
433,1801
434,1690
435,1636
436,1692
437,1869
438,2209
439,2624
440,2839
441,2943
442,3064
443,3151
444,2982
445,2759
446,2689
447,2610
448,2554
449,2561
450,2759
451,2797
452,2738
453,2659
454,2412
455,2076
456,1816
457,1672
458,1589
459,1555
460,1625
461,1800
462,2123
463,2521
464,2731
465,2869
466,2999
467,3087
468,2931
469,2708
470,2640
471,2555
472,2490
473,2498
474,2660
475,2683
476,2615
477,2535
478,2380
479,2208
480,2052
481,1970
482,1852
483,1770
484,1789
485,1872
486,1997
487,2144
488,2278
489,2513
490,2703
491,2825
492,2670
493,2441
494,2326
495,2248
496,2193
497,2230
498,2470
499,2512
500,2477
501,2415
502,2296
503,2127
504,1935
505,1785
506,1742
507,1792
508,1852
509,1925
510,2035
511,2161
512,2259
513,2401
514,2502
515,2547
516,2618
517,2599
518,2513
519,2450
520,2386
521,2370
522,2526
523,2548
524,2513
525,2464
526,2322
527,2114
528,1921
529,1795
530,1740
531,1740
532,1790
533,1940
534,2201
535,2524
536,2729
537,2816
538,2895
539,2925
540,2993
541,2953
542,2862
543,2782
544,2702
545,2649
546,2738
547,2805
548,2748
549,2656
550,2455
551,2181
552,1932
553,1751
554,1638
555,1592
556,1663
557,1826
558,2168
559,2534
560,2732
561,2869
562,2979
563,3075
564,2909
565,2678
566,2607
567,2514
568,2457
569,2467
570,2686
571,2741
572,2686
573,2620
574,2368
575,2024
576,1728
577,1610
578,1533
579,1504
580,1559
581,1733
582,2052
583,2488
584,2722
585,2841
586,2954
587,3059
588,2911
589,2702
590,2647
591,2594
592,2529
593,2502
594,2659
595,2746
596,2678
597,2594
598,2349
599,1999
600,1733
601,1617
602,1517
603,1486
604,1544
605,1733
606,2056
607,2471
608,2703
609,2842
610,2957
611,3074
612,2929
613,2691
614,2653
615,2591
616,2521
617,2487
618,2628
619,2696
620,2626
621,2554
622,2249
623,1933
624,1684
625,1563
626,1481
627,1448
628,1512
629,1679
630,1950
631,2346
632,2584
633,2737
634,2875
635,2980
636,2823
637,2615
638,2564
639,2492
640,2423
641,2405
642,2537
643,2606
644,2533
645,2455
646,2196
647,1925
648,1719
649,1606
650,1522
651,1487
652,1526
653,1663
654,1878
655,2131
656,2299
657,2499
658,2657
659,2771
660,2625
661,2406
662,2328
663,2261
664,2211
665,2206
666,2393
667,2484
668,2428
669,2360
670,2098
671,1830
672,1602
673,1449
674,1389
675,1410
676,1485
677,1634
678,1855
679,2096
680,2234
681,2325
682,2383
683,2389
684,2470
685,2437
686,2371
687,2317
688,2265
689,2243
690,2393
691,2495
692,2448
693,2371
694,2072
695,1761
696,1530
697,1390
698,1333
699,1374
700,1458
701,1674
702,2025
703,2447
704,2689
705,2752
706,2794
707,2780
708,2877
709,2844
710,2777
711,2693
712,2600
713,2514
714,2609
715,2689
716,2641
717,2547
718,2242
719,1928
720,1685
721,1580
722,1499
723,1470
724,1527
725,1714
726,2020
727,2434
728,2662
729,2794
730,2910
731,2989
732,2855
733,2647
734,2576
735,2518
736,2453
737,2430
738,2595
739,2690
740,2647
741,2561
742,2256
743,1938
744,1685
745,1576
746,1505
747,1484
748,1536
749,1713
750,1996
751,2411
752,2670
753,2796
754,2905
755,2981
756,2850
757,2630
758,2565
759,2500
760,2434
761,2412
762,2571
763,2691
764,2639
765,2567
766,2253
767,1929
768,1702
769,1578
770,1499
771,1474
772,1533
773,1705
